# NAME             %05s "TWISS"
# TYPE             %05s "TWISS"
# SEQUENCE         %02s "BL"
# PARTICLE         %08s "ELECTRON"
# MASS             %le     0.0005109989461
# CHARGE           %le                  -1
# ENERGY           %le         1.500000087
# PC               %le                 1.5
# GAMMA            %le         2935.426968
# KBUNCH           %le                   1
# BCURRENT         %le                   0
# SIGE             %le               0.001
# SIGT             %le                   1
# NPART            %le                   0
# EX               %le                   1
# EY               %le                   1
# ET               %le               0.001
# LENGTH           %le           115.16199
# ALFA             %le      0.004975864861
# ORBIT5           %le                  -0
# GAMMATR          %le         14.17639193
# Q1               %le         9.231705299
# Q2               %le         3.228557288
# DQ1              %le        -22.09991856
# DQ2              %le        -11.79959297
# DXMAX            %le         1.071239793
# DYMAX            %le                  -0
# XCOMAX           %le                   0
# YCOMAX           %le                   0
# BETXMAX          %le         38.69545835
# BETYMAX          %le         51.76535495
# XCORMS           %le                   0
# YCORMS           %le                   0
# DXRMS            %le        0.2886397798
# DYRMS            %le                   0
# DELTAP           %le                   0
# SYNCH_1          %le                   0
# SYNCH_2          %le                   0
# SYNCH_3          %le                   0
# SYNCH_4          %le                   0
# SYNCH_5          %le                   0
# TITLE            %16s "‚deltaoptik‘"
# ORIGIN           %17s "5.03.06 Darwin 64"
# DATE             %08s "18/07/18"
# TIME             %08s "11.41.07"
# NAME                                S               ALFX               BETX               ALFY               BETY                 DX                DPX                 DY                DPY 
# %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QQ35"                       52.852677        4.123305044        8.991336457       -2.043104885        4.422313466       0.1812452409     -0.07531776639                  0                  0
 "DRIFT_44"                   53.796821        2.233024916        2.990045663       -3.147789833        9.323265569       0.1101344236     -0.07531776639                  0                  0
 "QQ36"                       54.031821        1.062827665        2.234735447     -0.04812044426        10.09411659      0.09645884792     -0.04181316849                  0                  0
 "DRIFT_0"                    54.052321        1.043292084        2.191559992     -0.05015603292        10.09613126      0.09560167797     -0.04181316849                  0                  0
 "BPM26"                      54.052321        1.043292084        2.191559992     -0.05015603292        10.09613126      0.09560167797     -0.04181316849                  0                  0
 "DRIFT_45"                 54.30322762        0.804189326        1.728014669     -0.07507030998        10.12755138      0.08511047703     -0.04181316849                  0                  0
 "BEND1"                    55.41084238      -0.2300130121        1.104885145       0.8326292697        9.235328644       0.2310926707       0.3108407614                  0                  0
 "DRIFT_46"                   55.662485      -0.4698171456        1.280992243       0.7864913032        8.827888894       0.3093134556       0.3108407614                  0                  0
 "BPM27"                      55.662485      -0.4698171456        1.280992243       0.7864913032        8.827888894       0.3093134556       0.3108407614                  0                  0
 "DRIFT_0"                    55.682985      -0.4893527261        1.300655225       0.7827326859        8.795719803       0.3156856912       0.3108407614                  0                  0
 "QQ37"                       55.917985       -1.409243941        1.732737503        4.041145133        7.623379536       0.4056060872       0.4607076974                  0                  0
 "DRIFT_47"                   57.362792       -3.899031439         9.40217093       0.7565468736       0.6916405411        1.071239793       0.4607076974                  0                  0
